feature,label
"[-82.12359    139.50592    -42.430866    24.82786    -11.620764
  23.497084   -12.19459     25.897139    -9.405277    21.21043
  -7.3688216   14.254338    -8.6786995    7.750238   -10.124115
   3.258119   -11.352619     2.8009686   -7.0460143    3.9133139
  -2.3349745    2.0124226   -2.793944     4.1292744   -1.6207688
   4.3262014   -1.0344098   -1.2329768   -3.1108537    0.3204486
  -1.7877867    0.44295514  -1.7916476   -0.76361805  -1.2424644
  -0.27664033   0.6571852   -0.5023714   -2.6042857   -1.053462  ]",siren
"[-15.744005   124.119965   -29.42888     39.447193   -23.501913
  16.550816   -21.736818    16.533573   -16.971731     4.4835835
 -17.38769      0.7371223  -16.289228     5.112149   -10.559232
   2.9178739  -10.390848     0.6513002  -10.046337    -1.78348
  -6.099714     5.629786    -4.651114    -1.3691924   -8.249166
  -2.3619273   -4.796206    -0.5025695   -5.4106755    2.0780442
   7.1860027    8.185747     0.7673608    0.32726124  -2.2136655
  -3.106838    -5.7238493    0.8237056    1.7193218   -0.33146164]",street_music
"[-123.393654     15.181949    -50.09333       7.1418724   -26.817034
   -0.6925033    -8.223075     13.512939    -11.382056     19.949352
  -11.193459      9.592905     -8.269169      4.591708     -4.1160936
   -0.12660994   -9.266361     12.86465      -6.7681313     0.17970629
   -5.586145      6.8240633    -7.4434237     6.7138557     0.8869609
    7.952473     -7.8040466     4.751357     -5.9170437    -0.51082873
   -2.8931222     3.752504     -4.37565       5.624626     -4.8708267
    1.8876832    -3.8860335     1.5743902    -3.9967422     3.2457495 ]",drilling
"[-2.13278809e+02  8.93235855e+01 -5.52561874e+01  1.26320972e+01
 -4.77753754e+01  1.47029076e+01  1.90393410e+01  1.59744005e+01
 -3.44621599e-01 -3.85278606e+00 -5.71351910e+00  1.45023794e+01
  7.35625219e+00  2.77150917e+00 -1.21664124e+01 -7.54264402e+00
 -1.07718146e+00 -8.32686806e+00  1.13106937e+01  1.30546398e+01
 -1.24408588e+01 -1.77511101e+01  5.21531291e-02  2.10836506e+00
  5.23872280e+00  9.59365463e+00 -3.76473379e+00 -2.26955795e+00
 -6.74119186e+00 -8.63759041e+00  1.20566435e+01 -4.87823820e+00
 -5.16628599e+00  1.11927676e+00 -2.28136849e+00  5.82950830e+00
  1.19403517e+00  7.46546888e+00 -1.78587842e+00 -1.50114565e+01]",siren
"[-2.37926483e+02  1.35902451e+02  3.92684402e+01  2.12402363e+01
  9.53132725e+00  1.38851185e+01 -3.99444604e+00  1.24814844e+01
 -2.60462689e+00  6.07091522e+00  2.23836708e+00  4.17497253e+00
 -1.90301299e+00  2.30779433e+00 -2.66079974e+00 -6.64914787e-01
  4.49824381e+00  3.77204347e+00  3.37126422e+00  1.59958649e+00
 -5.34918785e-01 -1.95140690e-01  6.27361298e-01  3.20973372e+00
  1.33894145e+00  1.04330473e-01  9.07274306e-01 -2.27093887e+00
 -5.29898107e-01  2.00067535e-01  5.41832447e-01 -3.01083118e-01
  5.31195939e-01 -5.16149342e-01  1.73844695e+00  1.10963643e+00
  2.75794029e+00  2.15940213e+00  6.26567125e-01  6.92018032e-01]",dog_bark
"[-250.35834     128.01357     -47.575787     25.628069    -26.70792
   13.660259     -4.0266232     5.164237      7.8053665    10.534707
   -6.276586      3.0622876     1.346355     10.927397     -1.8723357
   11.119978     -1.5588439     1.3370548    -6.041244      0.2836957
   -0.46846193    3.074427      1.7389195     2.6016111     0.42318654
    3.5061572     0.5752815    -0.805175     -0.8749998    -0.76999986
   -1.0630283    -2.6025915    -0.2629138    -1.3103534    -3.686214
   -2.6783328    -1.2609502    -4.8175926    -3.705896     -3.604831  ]",children_playing
"[-203.97552      83.95814     -66.73028      18.536459    -20.581497
    1.9062059    -6.1212144    15.719913     -6.9354014    11.426916
   -5.8307204     6.4777813    -3.897225     11.948622     -9.477357
   14.071952     -3.1041236     5.2037272    -3.4652367    -0.45673773
    2.21404       3.3579278    -6.852989      3.8733823    -6.741399
    3.9307342     2.3199685     2.2980084     1.6241996    -5.634475
    0.22213475    4.3397236    -5.693467      4.0492463     0.564953
   -0.20875378    2.3246622    -7.4189296     1.897043      3.5763376 ]",street_music
"[-55.400555    22.767319   -46.079865     8.980095   -29.80627
  22.077938   -22.545788     0.8512561  -23.257723    -1.9646852
 -23.24148      3.348349   -18.35755     -0.7906075   -8.003728
   3.5172014   -6.015965     9.502482    -2.9558518   14.921329
   1.5219979    8.875393    -2.5925345    1.7239796   -1.5193202
   5.242552    -3.1275246   -0.8057578   -6.639179    -0.2378234
  -3.2971685   -0.43081254  -9.624969    -2.0571575   -3.0858796
   5.3102856   -1.325025     3.7609487    4.7755613    6.379787  ]",drilling
"[-1.1022915e+02  9.1258995e+01 -1.3743895e+02  5.7104736e+01
 -4.2575893e+01  1.8365829e+01 -3.1951092e+01  8.0531979e+00
 -1.6543415e+01 -3.2698178e+00 -1.4399264e+01  2.5386631e+00
 -2.0901535e+00  2.5881824e+00  2.1704962e+00  2.4819708e+00
  4.1965067e-01 -3.3681443e+00  3.1450624e+00 -4.7667189e+00
  5.1513000e+00 -6.3096123e+00  6.5105028e+00 -9.1636014e-01
  1.5809951e+00  4.8622772e-01  9.1396797e-01  6.7175829e-01
 -2.6086381e-01  1.1030152e+00 -1.3593847e+00  4.2498546e+00
 -3.7695990e+00  3.4218278e+00 -2.5768158e+00  3.2385287e+00
 -2.0077348e+00  1.9452581e+00  1.8576287e-01  6.1090089e-02]",gun_shot
"[-3.3776004e+02  1.4077518e+02 -1.5511056e+01  1.7615110e+01
  8.2206554e+00  1.4850394e+01 -1.2830464e+01  1.7522957e+01
 -1.2018428e+01  5.5578790e+00 -1.4806482e+01  2.9946525e+00
 -1.2039109e+01  5.2385726e+00 -1.5709156e+00  1.8816000e+01
  3.6932268e+00  8.5237312e+00 -6.9725933e+00 -7.4070746e-01
 -8.9013910e+00  2.9188483e+00 -2.2483754e+00  3.5982078e-01
 -5.3780551e+00 -1.5482922e+00 -4.0267172e+00 -6.3309926e-01
 -4.7789874e+00 -4.0437245e-01 -2.8043097e-01  3.7080522e+00
  1.2759062e+00  1.3834413e+00 -2.2710934e+00 -2.1470592e+00
 -1.6477245e+00  3.6808785e-02 -1.9627410e+00 -6.9424206e-01]",dog_bark
"[-182.77821     168.22331      19.15673      37.37135       0.700167
   29.758072      2.2935252    19.214533     -1.4269012    13.53015
   -5.8525343    12.344306     -1.2350544    10.139304     -5.130053
    3.6145837    -6.0402184    -8.175287     -7.474783    -10.372831
   -6.3459263    -0.38424325   -1.22965      -5.636897     -6.5073423
   -6.792892     -4.327684     -1.522554     -2.317548     -2.1042707
    3.5311265     1.9162205    -1.508153      2.303785      8.088768
    2.6507378     5.287161      2.7512016     5.8685565    -0.7889286 ]",engine_idling
"[-178.80864     174.40054     -30.283926     -8.904556    -15.133156
    4.7039084    -3.8522103    17.601576      2.2484887    27.616415
    6.229217     15.839333     -6.947548      5.0981846    -8.898608
    3.7995725    -4.970738      0.9553879    -6.1585326     9.426019
    3.451746      7.0267467     2.7115245     6.272804     -1.8928425
    2.0235145     0.4900911    -1.1491218    -4.7900877     2.9957883
    1.4808632    -0.59021825    1.7159255     3.4444861     0.58467346
    1.9312499    -0.53555405   -2.1655214    -0.63840276   -1.177511  ]",siren
"[-5.4223999e+02  2.1403486e+01  4.1646929e+00  2.2397568e-02
 -3.1632032e+00  2.4193380e+00  3.2284884e+00  8.4359264e+00
  5.8387966e+00  7.5576982e+00  5.0026221e+00  6.6830840e+00
  7.0835519e+00  6.0490494e+00  5.2555957e+00  6.3202190e+00
  5.5215111e+00  5.4140968e+00  5.0285821e+00  5.6780629e+00
  5.4149294e+00  5.9871778e+00  5.2497854e+00  5.3101215e+00
  5.2528729e+00  4.7987738e+00  4.4661036e+00  4.6307650e+00
  4.5238929e+00  4.1328678e+00  4.1705184e+00  4.4075532e+00
  4.6615777e+00  4.2577863e+00  4.1852522e+00  5.0408773e+00
  4.8642817e+00  4.4680018e+00  4.2095551e+00  4.3995295e+00]",gun_shot
"[-103.05681     164.84615     -15.67658      49.735844      9.312111
   17.344044    -21.178795     16.941267      0.37433258    9.673095
   -5.4070673    12.6797695    -6.836292      8.581433      0.5932081
    9.925986     -5.3600383     3.2542121     2.8016577     6.0351253
   -4.330696      4.2723937    -0.9972836     4.15928       0.97830254
    3.4975755    -2.5547838    -2.1756454     2.3521671     1.3492844
   -2.1002262    -0.44845933    2.6635337     2.183786     -1.4195296
   -3.4914486    -0.6288723    -1.4296236     0.9483565    -0.927468  ]",engine_idling
"[-192.07228    132.09007    -98.84944      0.6774151  -25.435389
   -9.677654   -31.589743    -3.2358665  -24.849834    -5.7216616
  -23.516775    -5.847936   -24.831636   -10.386575   -23.963856
  -17.12719    -21.74111    -10.443719   -11.343136    -6.586454
  -12.10374    -11.110559   -13.287959   -13.126059   -15.36659
   -9.475933    -8.2901945   -5.061179    -5.276082    -7.8324714
   -7.31578     -5.8740015   -2.988504    -2.1846542   -2.1187747
   -4.074117    -5.864284    -4.720396    -1.1819435   -2.6562023]",air_conditioner
"[-1.9952899e+02  1.8366898e+02 -7.1428475e+00  1.0107982e+01
 -1.1258210e+01 -3.4833825e-01 -1.8189222e+01  1.4460937e+01
 -1.9322914e+01  4.0613637e+00 -1.3592070e+01 -2.6621299e+00
 -2.3606030e+01 -1.5101530e+01 -1.7960850e+01 -4.6422572e+00
 -1.5372468e+01 -2.0277374e+00 -1.0822486e+00  5.2318466e-01
 -7.7155085e+00 -7.2998118e+00 -1.0467753e+01 -4.2673855e+00
 -1.1049077e+01 -1.7458195e+01 -6.1220393e+00 -1.7852758e+00
 -5.7803330e+00 -6.4325171e+00  1.6107703e+00  2.1803448e+00
  1.0215852e+00 -5.0871625e+00 -1.2433997e-01 -5.4170289e+00
 -1.1240430e+00 -1.1611842e+00 -5.4976588e-01 -3.7733281e+00]",air_conditioner
"[-363.9007     176.4064      42.354965    44.845352    20.407354
   37.93451      5.3331885   23.630613     4.0751567   11.233554
    3.9465742    4.804924    -1.4119684   -3.8330116   -2.0721064
   -3.842135    -6.660766    -8.824783    -1.8869445   -6.5119643
   -2.5806293   -6.148154    -3.3620937   -4.108357    -3.3536081
   -3.5247633   -3.1119123   -3.2549093   -3.8335533   -3.06242
   -1.0403793   -1.739388    -5.063506    -1.2641329   -0.5105467
   -3.520135    -3.4498107   -1.9625028   -1.7783225   -4.239701 ]",engine_idling
"[-3.1529916e+02  1.8421286e+02 -6.5808682e+00 -3.4168574e-01
 -1.0026158e+01  3.2387081e+01 -1.6628267e+00  1.4956826e+01
 -2.4625273e+00  1.6030809e+01 -2.7544997e+00  9.1303215e+00
 -4.6150255e+00  8.8921185e+00 -1.2209790e+00  4.7441626e+00
 -1.5385524e+00  4.3617182e+00  1.7918314e-01  2.8933828e+00
 -1.7281126e+00  3.3386378e+00  7.4533981e-01  2.0624998e+00
 -1.7352542e-01  8.3598441e-01  1.0286694e+00  9.6533805e-01
  1.8335397e+00  6.6751599e-01  1.7819309e+00  4.3572274e-01
 -9.3632475e-02 -6.6942161e-01  1.4525139e-01 -1.3771510e+00
 -3.2216209e-01 -2.1262274e+00 -5.2921969e-01 -1.2430825e+00]",siren
"[-2.7511850e+02  9.2690437e+01 -4.0458584e+01  1.7915660e+00
 -1.9934328e+01  3.9973772e+00 -1.0702621e+01 -5.7978272e-01
 -7.1338215e+00  6.5247506e-01 -6.6066556e+00  2.7816331e+00
 -3.6062944e+00  1.9024905e+00 -3.7675414e+00  1.4677805e-01
 -4.7266912e+00 -1.0331111e+00 -6.9574273e-01 -1.2611238e+00
 -4.5227690e+00 -3.7819786e+00  1.5134215e-01 -2.4750447e+00
 -3.7549498e+00 -4.8139977e+00 -2.5280793e+00 -8.3080349e+00
 -6.8166237e+00 -5.4596038e+00 -3.9027870e+00 -4.9114065e+00
 -3.8712938e+00 -3.0503604e+00 -2.4691544e+00 -2.9917727e+00
 -1.7804003e+00 -2.1337957e+00 -3.0861111e+00 -4.1412869e-01]",children_playing
"[-1.45922302e+02  1.22609962e+02  3.84362078e+00  2.27347393e+01
 -1.22434292e+01  1.70769253e+01 -1.34887781e+01  2.30640545e+01
 -1.31128435e+01  1.44808359e+01 -1.54121971e+01  1.16093779e+01
 -1.12618790e+01  3.15610814e+00 -5.42287636e+00 -2.60568237e+00
 -1.13839340e+01  8.84074986e-01 -7.50171089e+00  9.57820988e+00
 -1.06569033e+01  5.67709923e+00 -9.15918255e+00  5.97925568e+00
 -5.33807564e+00  4.77675056e+00 -2.87840515e-02  5.18871307e+00
  1.66315508e+00  5.00125170e+00  3.48245430e+00  1.16609573e+00
 -8.10441494e+00 -3.36111009e-01 -4.01490021e+00  2.28812408e+00
 -4.26622200e+00  1.56859183e+00 -4.67180777e+00 -1.18840194e+00]",jackhammer
"[-5.24573792e+02  6.67728958e+01 -1.37076368e+01 -1.22951355e+01
 -2.36712151e+01 -6.39780521e+00 -1.36164913e+01  4.89767361e+00
  1.06446302e+00  7.14048576e+00 -2.19323993e+00  4.82895374e+00
  6.53942156e+00  7.78489828e+00  2.41781783e+00  4.59038782e+00
  3.47963095e+00  4.18376207e+00  2.53419852e+00  3.87884617e+00
  2.76613116e+00  2.38475347e+00  1.37668884e+00  1.26913238e+00
  1.72497284e+00  1.17293942e+00  2.25888538e+00  1.69944990e+00
  1.75420105e+00  1.43591091e-01  5.31730831e-01  6.52991474e-01
  1.04765832e+00  1.32993782e+00  1.45915711e+00  1.87926733e+00
  1.53427458e+00  1.37438524e+00  2.42021948e-01  2.04692721e+00]",gun_shot
"[-2.6685333e+02  1.9205753e+02 -3.8415848e+01  1.4898575e+01
 -1.8072401e+01  2.3537645e+01  2.8749893e+00  1.1918587e+01
 -1.6395065e+01  4.7873402e-01 -4.7223315e+00  9.4886646e+00
 -7.5439324e+00 -7.2179513e+00 -1.0928732e+01  3.2825568e+00
 -1.9307368e+00  6.9642973e-01 -5.6740017e+00 -3.7444942e+00
  1.6609457e-01  3.2582805e-02 -1.6571102e-01 -2.0143802e+00
  9.0507567e-01  8.1231707e-01  4.3558569e+00 -6.6449273e-01
 -3.1954331e+00 -9.3483686e-01  4.4661593e-01 -1.1080371e+00
 -2.4739807e+00 -4.0564489e+00 -1.7551322e+00 -1.5589883e+00
  2.7204233e-01 -2.5869896e+00 -2.5527301e+00 -2.8528848e+00]",siren
"[-169.81548      28.147003    -36.25734      38.470913    -19.065004
   26.04434      -4.6445847    21.002295    -21.141197     18.444963
   -5.658773     14.855566    -20.305689      6.415104    -18.197847
    4.101069      3.4050388     1.4686804   -12.221714      9.45558
  -10.313721      6.6416135    -2.6514418     8.667618    -12.790886
   -0.27525452    5.598437      4.438445    -13.196464     -2.1390748
   -6.4087477    -2.7773764     4.3168273     3.0791554    -1.4866681
    4.3496375    -0.62633276    1.995889      1.1447023    -0.7529065 ]",jackhammer
"[-235.51964     110.98205     -14.138463     30.522432     -9.91591
   18.337421    -20.44052      14.454243    -13.697428      7.070417
  -12.672661     12.060939     -6.2122173     7.961595     -8.395873
    4.1059837    -6.360113      0.79818135   -8.49701       3.74992
   -1.9096864     1.8939333     2.898526      6.1815367     0.31297237
    4.935923     -0.59439015    2.4672854    -1.451861      1.757435
   -0.64838624    1.271236      0.89790016    5.262784      2.904064
    2.92462       0.51959085    2.1338062    -0.76534754   -2.0075443 ]",street_music
"[-1.3699390e+02  8.5489883e+00 -4.8803074e+01  3.5287983e+01
 -9.0153112e+00  4.0191017e+01 -1.0977225e+01  1.6492407e+01
 -2.7202396e+01  6.2983103e+00 -2.3348241e+00  9.1803885e+00
 -1.7402407e+01  1.2755059e+01 -7.9319682e+00  5.0692496e+00
 -7.6192242e-01  8.2346338e-01 -1.7061453e+01  1.8778837e+01
 -1.3154895e+01  1.5370259e+00 -4.7257247e+00  9.9840126e+00
 -1.2895702e+01  1.5265932e+00 -2.0337114e+00  5.9973340e+00
 -8.7034597e+00 -2.3021014e-02  4.3637764e-01  1.4110513e+00
  6.5109706e+00 -4.5249643e+00 -1.5621006e+00  3.7111226e-02
 -4.4563937e+00  2.5941653e+00  4.6790552e-01  3.7913423e+00]",jackhammer
"[-277.93918      85.61577     -46.81246      19.275702    -23.003866
   38.347164    -13.092336     30.179756    -16.952433      7.4223776
  -10.728427     20.793104    -14.661013     19.696323    -11.973807
    2.768945     -2.2015665     3.1895258    -5.1154823     5.9874563
  -11.355695     -7.786496     -5.834851     -1.3031018   -14.235402
   -4.707068     -4.515676      5.2209496    -4.94379       0.48865998
   -6.056708      0.5053537    -2.6064248     2.6387453     2.0084243
    2.4995203     1.9209205     0.805961      0.69131094    5.2803226 ]",engine_idling
"[-107.97146     169.84698     -45.563145     15.269861    -15.660498
   17.45909     -11.585098     13.653312    -12.54153      14.308102
  -12.305056      8.181487     -7.0127745     7.4465785    -5.427437
    9.746497     -6.0930514     4.068801     -9.83375       3.798078
   -3.2018073     0.6302301    -4.72758       1.879589     -1.124648
   -0.5755533    -2.1292706    -0.84710145   -2.442952      2.1521575
   -5.3668566    -0.9856137     0.2426231    -1.8943257    -0.9600337
    1.3658154    -1.6603606    -0.21677302   -0.34032983   -1.4619174 ]",siren
