feature,label
"[-4.5111005e+02  1.0692886e+02 -4.5648678e+01  3.1838263e+01
 -3.4905369e+01  1.7423923e+01 -9.6745148e+00 -1.8096014e+01
 -1.4443168e+01  2.5702937e+00  5.3869328e+00 -2.6929548e+01
  6.1379809e+00 -1.6234957e+01 -1.5070573e+01 -9.9742441e+00
 -1.4173486e+01 -7.0888844e+00 -1.3969697e+01 -3.0234199e+00
 -1.3668634e+01 -9.7382975e+00 -9.1512012e+00 -9.1977921e+00
 -5.6413898e+00 -6.8144884e+00 -3.9175942e+00 -1.2337756e+01
 -6.1366911e+00 -3.6019387e+00 -2.5329137e+00  1.7927107e-01
  7.3776126e+00  9.6300678e+00  5.2644877e+00  6.0462437e+00
 -2.6076458e+00  7.3929822e-01  7.3689884e-01  8.3994144e-01]",dog
"[-4.5572461e+02  1.1022901e+02 -2.4801985e+01 -8.4637815e-01
 -1.6881969e+01 -3.5148426e+01  1.3004838e+00 -3.8042116e+00
 -2.1375212e+01 -1.3373019e+01 -1.2486904e+01 -8.8522263e+00
 -6.8077321e+00 -1.3544580e+01 -6.1452894e+00 -1.4280313e+00
 -7.4327297e+00 -6.4699244e+00 -7.8837667e+00 -8.5534430e+00
 -6.9799786e+00 -9.5525217e+00 -4.3472304e+00 -1.8211892e+00
 -5.7487335e+00 -1.0572606e+00 -2.2746640e-01 -4.8140035e+00
 -2.9863140e-01  1.0558913e+00 -3.6695783e+00  2.2172728e-01
  1.0742724e+00 -4.3593416e+00 -1.8388177e+00 -1.3171300e+00
 -3.2153509e+00  3.0951607e-01  4.5846128e-01 -3.1709384e-02]",dog
"[-4.6422079e+02  1.1973360e+02 -3.4433117e+01 -6.6660914e+00
 -2.3540581e+01  3.9118347e+00 -1.5346935e+01 -2.5927666e+01
 -8.6843376e+00 -9.5097513e+00  1.3852296e+00 -1.2131088e+01
 -1.2710677e+01 -8.1534204e+00 -1.0075640e+01 -5.5727644e+00
 -5.0015588e+00 -6.6686511e+00 -1.0503973e+01 -6.8020930e+00
 -7.0881062e+00 -6.8203769e+00 -3.4305360e+00 -5.4087877e+00
 -7.7405062e+00 -5.3603024e+00 -2.5869298e+00 -1.0612289e+01
 -5.8604932e+00  2.0442426e+00 -4.2760065e-01  1.0010132e+01
  1.1471663e+01  8.5242901e+00  5.6152577e+00 -6.0608501e+00
 -2.9613426e+00 -4.1379480e+00 -2.1976314e+00  5.3404360e+00]",dog
"[-4.29882721e+02  1.12257889e+02  6.19347239e+00  7.80457437e-01
 -2.37982426e+01  1.26970205e+01 -1.24959097e+01 -1.09579000e+01
 -2.08544946e+00 -1.56913595e+01 -3.89950871e+00 -9.63963890e+00
 -3.94924068e+00 -6.89427948e+00 -9.72747803e+00 -4.54424620e+00
 -7.55267906e+00 -8.94987106e+00 -5.65249538e+00  1.53115585e-01
 -5.32327223e+00 -8.43751335e+00 -3.50802445e+00 -5.31808662e+00
 -1.07482443e+01 -4.51170444e+00 -2.13435984e+00 -2.98805833e+00
 -1.39271688e+00 -5.68854475e+00 -2.89216936e-01 -1.77178606e-02
 -3.63099813e+00 -2.91167665e+00 -3.93161678e+00 -1.37319767e+00
 -4.88981676e+00 -4.78311825e+00 -1.29278493e+00 -3.57233596e+00]",dog
"[-3.96185455e+02  1.33081909e+02 -1.48237925e+01  1.82568913e+01
 -1.91913776e+01 -7.30247831e+00 -3.86906910e+00  7.25962460e-01
 -1.41993990e+01 -3.17625594e+00  2.69201785e-01 -1.26926155e+01
 -2.01383996e+00 -1.06701136e+01  5.31403923e+00 -6.38803816e+00
 -9.02407932e+00  1.50010824e+00 -7.16206503e+00 -4.44686890e+00
 -8.87118244e+00 -1.49325788e+00  4.05087382e-01 -1.64333951e+00
 -7.17167664e+00 -5.94044828e+00 -1.53821385e+00 -3.75090384e+00
 -1.42786205e+00 -8.77280617e+00 -2.45748615e+00 -2.04727077e+00
 -4.72335052e+00 -2.22406220e+00 -5.38261366e+00 -2.29093170e+00
 -4.27211189e+00 -4.12310153e-01 -2.56520534e+00 -3.89444518e+00]",dog
"[-4.0151474e+02  1.5150487e+02 -2.9579329e+01  2.3268084e+01
 -2.6910114e+01  1.8849291e+01 -5.9588618e+00  7.5709581e+00
  1.1126914e+01 -9.8689824e-01  1.4816631e+01  2.4072397e+00
  2.0008945e+01  3.4519980e+00  3.4723608e+00  2.3869913e+00
  2.8597872e+00  7.0742097e+00 -3.3398752e+00  7.6654658e+00
 -1.9750321e+00 -1.5413139e+00  3.3252109e-02  4.8411351e-01
  4.8337078e+00  3.9360366e+00  2.6672423e+00 -1.7778221e+00
  3.8248076e+00 -8.3494759e-01 -7.6913488e-01 -8.7130278e-02
  2.8232282e-01  1.1004558e+00 -1.9235982e+00  2.4862211e+00
  1.1066719e+00  2.4332299e+00  1.8568967e-01  2.1046478e-01]",dog
"[-2.74192963e+02  1.71785217e+02 -1.44899101e+01  2.88643055e+01
 -2.57259769e+01  1.21914396e+01  1.34043150e+01  1.10022554e+01
 -2.94157100e+00 -6.88418770e+00  1.00205145e+01 -8.99948120e+00
  3.69526982e+00 -4.55683041e+00  9.23101068e-01 -4.37333360e-02
 -1.01486120e+01  3.97983265e+00 -4.00038576e+00 -4.33470631e+00
  1.69827533e+00  2.75812125e+00 -5.93577576e+00 -3.31586862e+00
 -1.07298708e+00 -6.05404997e+00  3.33174467e-02 -2.65214062e+00
 -2.53121734e+00 -6.34544516e+00 -2.83013129e+00 -1.89281762e+00
 -6.57270670e+00 -1.48886347e+00 -4.13653851e+00 -1.29138124e+00
 -1.42750192e+00  1.29205525e+00  5.78248787e+00  4.54427004e+00]",dog
"[-2.75221558e+02  1.08235405e+02 -1.42764902e+01  2.81102486e+01
 -3.43732476e-01  9.35675430e+00  3.94029021e+00  5.59437692e-01
  2.46299028e-01 -4.55616951e+00  9.73993492e+00  6.57013130e+00
  4.63716698e+00  3.46813738e-01  1.92795706e+00  1.59372702e-01
 -2.08090639e+00 -5.15282094e-01 -1.63982773e+00  8.80783021e-01
 -4.19033241e+00 -8.31471682e-01  6.15354121e-01 -1.36880064e+00
  4.29385006e-01 -1.61172628e+00 -8.91244709e-01 -1.22910011e+00
  3.50083381e-01  2.59056687e+00  1.92276073e+00 -5.92346251e-01
 -9.76334587e-02  3.58123720e-01 -1.91488469e+00 -3.43245119e-02
 -2.28736356e-01 -1.20524728e+00  5.48130810e-01  1.11123192e+00]",dog
"[-5.0435107e+02  9.8505692e+01 -5.6969650e+01  2.3153542e+01
 -9.4873171e+00 -1.0154687e+01  1.7474522e+01 -1.2339339e+01
 -1.9012978e+00 -2.2173910e+00 -8.6179647e+00 -4.3219705e+00
 -8.1898975e+00  3.7979896e+00  1.4239408e+00 -6.6320496e+00
 -4.1430378e+00 -4.4488826e+00 -3.5200160e+00 -5.5581841e+00
 -2.5358727e+00 -2.9370241e+00 -5.4063358e+00  4.1107588e-02
 -2.9250078e+00 -4.2335911e+00 -1.7278701e+00 -1.9047970e+00
 -6.3134992e-01 -2.1594357e+00 -5.8010793e-01 -1.9600056e+00
 -4.8578091e+00 -1.2559041e+00 -1.2539843e+00 -8.3295673e-01
 -1.2810396e+00 -3.0328519e+00 -1.0439839e+00 -1.9900585e+00]",dog
"[-3.9683115e+02  8.3085014e+01 -4.0217476e+01  3.6028564e+01
 -3.0941244e+01  1.0931655e+01 -1.5712378e+01 -4.6053848e+00
 -7.5943696e-01 -1.7568970e+00  1.3651016e+01 -9.7019873e+00
  3.8607925e-01 -1.6641370e+00  3.9168541e+00 -8.3942375e+00
 -1.6283438e+00  2.3784173e+00 -7.8940134e+00  2.1252255e-01
 -5.6791246e-01  4.7299010e-01 -9.5742559e+00 -7.7516788e-01
 -5.2248993e+00 -6.3567896e+00  6.2139028e-01 -6.5234756e+00
 -1.3535108e-01 -4.4925904e+00  2.7602611e+00  8.1841831e+00
  9.2821856e+00  1.4831689e+01  6.5220141e+00  1.3918899e+00
 -2.5879869e+00 -4.5855970e+00  2.8541465e+00  6.1522684e+00]",dog
